ARMOR,PHYS_DEF,STRIKE_DEF,SLASH_DEF,THRUST_DEF,MAG_DEF,FIRE_DEF,LITNG_DEF,POISE,BLEED_RES,POIS_RES,CURSE_RES,DURABILITY,WEIGHT,STAM_MOD,SOUND_MOD
Wanderer Coat,23.0,24.6,24.6,23.0,21.0,26.0,23.0,0.0,21.0,21.0,0.0,400.0,3.5,0.0,1.0
Wanderer Manchette,14.0,15.0,15.0,14.0,12.0,15.0,13.0,0.0,13.0,13.0,0.0,400.0,2.1,0.0,1.0
Wanderer Boots,14.0,15.0,15.0,14.0,12.0,15.0,13.0,0.0,13.0,13.0,0.0,400.0,2.1,0.0,1.0
Thief Mask,9.0,9.6,9.0,9.0,8.0,5.0,6.0,0.0,9.0,12.0,0.0,250.0,1.2,0.0,1.0
Black Leather Armor,23.0,24.6,23.0,23.0,20.0,14.0,16.0,0.0,23.0,31.0,0.0,250.0,3.1,0.0,1.0
Black Leather Gloves,13.0,13.9,13.0,13.0,12.0,8.0,9.0,0.0,14.0,18.0,0.0,250.0,1.8,0.0,1.0
Black Leather Boots,12.0,12.8,12.0,12.0,19.0,13.0,15.0,0.0,23.0,31.0,0.0,250.0,3.0,0.0,1.0
Brigand Hood,9.0,9.9,9.0,8.1,8.0,5.0,6.0,0.0,8.0,8.0,0.0,200.0,1.2,0.0,1.0
Brigand Armor,23.0,25.3,23.0,20.7,20.0,13.0,17.0,0.0,20.0,20.0,0.0,200.0,3.1,0.0,1.0
Brigand Gauntlets,14.0,15.4,14.0,12.6,12.0,8.0,10.0,0.0,12.0,12.0,0.0,200.0,1.8,0.0,1.0
Brigand Trousers,14.0,15.4,14.0,12.6,12.0,8.0,10.0,0.0,12.0,12.0,0.0,200.0,1.8,0.0,1.0
Leather Armor,24.0,25.4,24.0,24.0,20.0,12.0,23.0,0.0,21.0,20.0,0.0,250.0,4.7,0.0,1.0
Leather Gloves,12.0,12.7,12.0,12.0,12.0,6.0,13.0,0.0,13.0,12.0,0.0,250.0,2.8,0.0,1.0
Leather Boots,12.0,12.7,12.0,12.0,12.0,6.0,13.0,0.0,13.0,12.0,0.0,250.0,2.8,0.0,1.0
Sorcerer Hat,8.0,8.6,8.3,8.0,10.0,5.0,6.0,0.0,6.0,5.0,0.0,200.0,0.9,0.0,1.0
Sorcerer Cloak,20.0,21.6,20.8,20.0,27.0,13.0,17.0,0.0,16.0,12.0,0.0,200.0,2.3,0.0,1.0
Sorcerer Gauntlets,12.0,13.0,12.5,12.0,16.0,8.0,10.0,0.0,9.0,7.0,0.0,200.0,1.4,0.0,1.0
Sorcerer Boots,12.0,13.0,12.5,12.0,16.0,8.0,10.0,0.0,9.0,7.0,0.0,200.0,1.4,0.0,1.0
Black Sorcerer Hat,5.0,5.1,5.5,5.0,11.0,8.0,8.0,0.0,12.0,12.0,2.0,200.0,0.7,0.0,1.0
Black Sorcerer Cloak,13.0,13.4,14.2,13.0,28.0,21.0,21.0,0.0,31.0,31.0,4.0,200.0,1.8,0.0,1.0
Black Sorcerer Gauntlets,8.0,8.2,8.7,8.0,17.0,12.0,12.0,0.0,18.0,18.0,2.0,200.0,1.0,0.0,1.0
Black Sorcerer Boots,8.0,8.2,8.7,8.0,17.0,12.0,12.0,0.0,18.0,18.0,2.0,200.0,1.0,0.0,1.0
Tattered Cloth Hood,8.0,8.9,8.0,8.0,9.0,12.0,6.0,0.0,9.0,23.0,1.0,400.0,1.1,0.0,1.0
Tattered Cloth Robe,21.0,23.3,21.0,21.0,23.0,30.0,17.0,0.0,23.0,59.0,2.0,400.0,2.7,0.0,1.0
Tattered Cloth Manchette,12.0,13.3,12.0,12.0,14.0,18.0,10.0,0.0,14.0,35.0,1.0,400.0,1.6,0.0,1.0
Heavy Boots,12.0,13.3,12.0,12.0,14.0,18.0,10.0,0.0,14.0,35.0,1.0,400.0,1.6,0.0,1.0
Priest's Hat,8.0,9.4,8.0,8.0,9.0,5.0,7.0,0.0,9.0,8.0,0.0,350.0,1.2,0.0,1.0
Holy Robe,22.0,26.0,22.0,22.0,23.0,14.0,19.0,0.0,24.0,20.0,0.0,350.0,4.0,0.0,1.0
Traveling Gloves (Holy),5.0,5.9,5.0,5.0,5.0,3.0,4.0,0.0,5.0,4.0,0.0,350.0,0.7,0.0,1.0
Holy Trousers,14.0,16.5,14.0,14.0,15.0,8.0,12.0,0.0,15.0,13.0,0.0,350.0,2.0,0.0,1.0
Cleric Helm,15.0,15.0,17.2,15.0,9.0,8.0,6.0,8.0,9.0,6.0,0.0,500.0,4.8,-1.0,1.0
Cleric Armor,40.0,40.0,46.0,40.0,23.0,21.0,15.0,20.0,23.0,16.0,0.0,500.0,12.5,-1.0,1.5
Cleric Gauntlets,24.0,24.0,27.6,24.0,13.0,12.0,9.0,12.0,14.0,9.0,0.0,500.0,7.4,-1.0,1.0
Cleric Leggings,24.0,24.0,27.6,24.0,13.0,12.0,9.0,12.0,14.0,9.0,0.0,500.0,7.4,-1.0,1.0
Iron Helm,14.0,14.0,14.0,13.7,10.0,10.0,9.0,8.0,12.0,8.0,2.0,350.0,4.5,0.0,1.0
Armor of the Sun,35.0,35.0,35.0,34.3,21.0,21.0,19.0,16.0,23.0,16.0,10.0,350.0,9.0,0.0,1.5
Iron Bracelet,17.0,17.0,17.0,16.7,10.0,10.0,9.0,7.0,11.0,7.0,2.0,350.0,4.3,0.0,1.0
Iron Leggings,21.0,21.0,21.0,20.6,12.0,12.0,11.0,9.0,14.0,9.0,2.0,350.0,5.3,0.0,1.0
Black Iron Helm,27.0,25.7,31.1,27.0,11.0,19.0,8.0,12.0,17.0,10.0,5.0,600.0,6.0,-1.0,1.0
Black Iron Armor,68.0,64.6,78.2,68.0,30.0,51.0,21.0,31.0,43.0,25.0,13.0,600.0,15.6,-2.0,1.5
Black Iron Gauntlets,40.0,38.0,46.0,40.0,17.0,30.0,13.0,18.0,25.0,14.0,8.0,600.0,9.2,-1.0,1.0
Black Iron Leggings,40.0,38.0,46.0,40.0,17.0,30.0,13.0,18.0,25.0,14.0,8.0,600.0,9.2,-1.0,1.0
Helm of the Wise,18.0,17.1,20.7,18.0,12.0,13.0,10.0,8.0,11.0,7.0,18.0,500.0,5.1,0.0,1.0
Armor of the Glorious,47.0,44.6,54.1,47.0,31.0,34.0,25.0,20.0,28.0,19.0,24.0,500.0,13.3,-1.0,1.5
Gauntlets of the Vanquisher,11.0,10.5,12.7,11.0,7.0,7.0,6.0,4.0,6.0,5.0,4.0,500.0,3.0,0.0,1.0
Boots of the Explorer,14.0,13.3,16.1,14.0,10.0,11.0,7.0,6.0,8.0,6.0,5.0,500.0,4.0,0.0,1.0
Catarina Helm,22.0,21.8,25.3,22.0,12.0,13.0,7.0,8.0,13.0,9.0,0.0,400.0,4.5,-1.0,1.0
Catarina Armor,57.0,56.4,65.5,57.0,31.0,37.0,19.0,21.0,34.0,24.0,0.0,400.0,11.7,-1.0,1.5
Catarina Gauntlets,34.0,33.7,39.1,34.0,18.0,21.0,12.0,13.0,21.0,13.0,0.0,400.0,6.9,-1.0,1.0
Catarina Leggings,34.0,33.7,39.1,34.0,18.0,21.0,12.0,13.0,21.0,13.0,0.0,400.0,6.9,-1.0,1.0
Crystalline Helm,25.0,21.3,28.8,25.0,8.0,6.0,2.0,6.0,6.0,0.0,0.0,150.0,4.2,0.0,1.0
Crystalline Armor,59.0,50.1,67.9,59.0,21.0,15.0,7.0,16.0,15.0,0.0,0.0,150.0,10.9,0.0,1.0
Crystalline Gauntlets,37.0,31.5,42.6,37.0,12.0,9.0,4.0,9.0,9.0,0.0,0.0,150.0,6.4,0.0,1.0
Crystalline Leggings,37.0,31.5,42.6,37.0,12.0,9.0,4.0,9.0,9.0,0.0,0.0,150.0,6.4,0.0,1.0
Brass Helm,22.0,21.1,24.9,22.0,12.0,11.0,11.0,8.0,11.0,9.0,6.0,600.0,5.1,0.0,1.0
Brass Armor,48.0,46.1,54.2,48.0,27.0,25.0,25.0,16.0,24.0,20.0,11.0,600.0,10.9,0.0,1.5
Brass Gauntlets,24.0,23.0,27.1,24.0,14.0,12.0,12.0,8.0,12.0,10.0,6.0,600.0,5.4,0.0,1.0
Brass Leggings,26.0,25.0,29.4,26.0,16.0,15.0,15.0,9.0,14.0,12.0,7.0,600.0,6.4,0.0,1.0
Pharis's Hat,7.0,7.4,7.0,7.0,5.0,7.0,6.0,0.0,6.0,5.0,0.0,250.0,1.2,0.0,1.0
Big Hat,14.0,15.4,15.4,12.6,43.0,7.0,17.0,0.0,13.0,13.0,0.0,250.0,3.0,0.0,1.0
Sage Robe,41.0,44.3,42.6,41.0,28.0,29.0,35.0,0.0,49.0,49.0,0.0,250.0,4.0,0.0,1.0
Traveling Gloves (Big Hat),12.0,13.0,12.5,12.0,16.0,8.0,10.0,0.0,14.0,14.0,0.0,250.0,1.6,0.0,1.0
Traveling Boots,12.0,13.0,12.5,12.0,16.0,8.0,10.0,0.0,14.0,14.0,0.0,250.0,1.6,0.0,1.0
Mask of the Sealer,12.0,13.2,12.0,12.0,12.0,7.0,9.0,0.0,8.0,8.0,8.0,400.0,1.5,0.0,1.0
Crimson Robe,32.0,35.2,32.0,32.0,33.0,19.0,24.0,0.0,21.0,21.0,21.0,400.0,3.9,0.0,1.0
Crimson Gloves,7.0,7.7,7.0,7.0,7.0,4.0,5.0,0.0,4.0,4.0,4.0,400.0,0.8,0.0,1.0
Crimson Waistcloth,29.0,31.9,29.0,29.0,29.0,17.0,21.0,0.0,19.0,19.0,19.0,400.0,3.5,0.0,1.0
Witch Hat,9.0,10.0,9.0,9.0,12.0,6.0,7.0,0.0,10.0,10.0,11.0,250.0,1.1,0.0,1.0
Crown of Dusk,5.0,5.0,5.0,5.0,11.0,2.0,6.0,0.0,5.0,5.0,20.0,150.0,0.4,0.0,1.0
Antiquated Dress,14.0,14.0,14.0,14.0,33.0,6.0,19.0,0.0,14.0,14.0,26.0,150.0,1.0,0.0,1.0
Antiquated Gloves,8.0,8.0,8.0,8.0,19.0,3.0,11.0,0.0,8.0,8.0,16.0,150.0,0.6,0.0,1.0
Antiquated Skirt,15.0,15.0,15.0,15.0,35.0,17.0,21.0,0.0,20.0,20.0,52.0,150.0,3.0,0.0,1.0
Witch Cloak,33.0,36.6,33.0,33.0,43.0,20.0,26.0,0.0,36.0,36.0,12.0,250.0,4.0,0.0,1.0
Witch Gloves,14.0,15.5,14.0,14.0,18.0,9.0,11.0,0.0,16.0,16.0,6.0,250.0,1.7,0.0,1.0
Witch Skirt,17.0,18.9,17.0,17.0,27.0,12.0,17.0,0.0,23.0,28.0,8.0,250.0,2.5,0.0,1.0
Gold-Hemmed Black Hood,11.0,11.8,11.0,11.0,15.0,22.0,8.0,0.0,16.0,36.0,0.0,400.0,1.4,0.0,1.0
Gold-Hemmed Black Cloak,31.0,33.2,31.0,31.0,38.0,58.0,21.0,0.0,40.0,94.0,0.0,400.0,3.5,0.0,1.0
Gold-Hemmed Black Gloves,12.0,12.8,12.0,12.0,13.0,24.0,8.0,0.0,14.0,32.0,0.0,400.0,1.2,0.0,1.0
Gold-Hemmed Black Skirt,23.0,24.6,23.0,23.0,27.0,49.0,17.0,0.0,32.0,78.0,0.0,400.0,3.0,0.0,1.0
Mask of Velka,12.0,13.1,12.0,12.0,12.0,10.0,7.0,0.0,9.0,9.0,20.0,400.0,2.5,0.0,1.0
Black Cleric Robe,23.0,25.1,23.0,23.0,29.0,25.0,19.0,0.0,22.0,22.0,13.0,400.0,3.9,0.0,1.0
Black Manchette,11.0,12.0,11.0,11.0,14.0,11.0,9.0,0.0,10.0,10.0,5.0,400.0,1.8,0.0,1.0
Black Tights,16.0,17.4,16.0,16.0,22.0,17.0,13.0,0.0,15.0,15.0,9.0,400.0,2.8,0.0,1.0
Snickering Top Hat,12.0,16.2,12.0,12.0,13.0,9.0,12.0,0.0,19.0,14.0,0.0,300.0,2.0,0.0,1.0
Chester's Long Coat,27.0,36.5,27.0,27.0,30.0,21.0,28.0,0.0,44.0,32.0,0.0,300.0,4.5,0.0,1.0
Chester's Gloves,10.0,13.5,10.0,10.0,10.0,7.0,10.0,0.0,15.0,11.0,0.0,300.0,1.5,0.0,1.0
Chester's Trousers,19.0,25.7,19.0,19.0,21.0,15.0,20.0,0.0,31.0,23.0,0.0,300.0,3.2,0.0,1.0
Maiden Hood,7.0,8.2,7.0,7.0,8.0,5.0,6.0,0.0,9.0,7.0,3.0,150.0,0.8,0.0,1.0
Maiden Robe,19.0,22.2,19.0,19.0,22.0,13.0,17.0,0.0,23.0,18.0,8.0,150.0,2.0,0.0,1.0
Maiden Gloves,11.0,12.9,11.0,11.0,13.0,8.0,10.0,0.0,14.0,10.0,5.0,150.0,1.2,0.0,1.0
Maiden Skirt,14.0,16.4,14.0,14.0,27.0,16.0,21.0,0.0,29.0,22.0,10.0,150.0,2.5,0.0,1.0
Dingy Hood,6.0,7.5,6.0,6.0,8.0,5.0,6.0,0.0,9.0,7.0,9.0,150.0,0.8,0.0,1.0
Dingy Robe,23.0,28.8,23.0,23.0,33.0,19.0,25.0,0.0,35.0,26.0,35.0,150.0,3.0,0.0,1.0
Dingy Gloves,9.0,11.2,9.0,9.0,13.0,8.0,10.0,0.0,14.0,10.0,14.0,150.0,1.2,0.0,1.0
Blood-Stained Skirt,13.0,16.3,13.0,13.0,27.0,16.0,21.0,0.0,29.0,22.0,29.0,150.0,2.5,0.0,1.0
Eastern Helm,17.0,16.1,21.1,16.5,6.0,12.0,7.0,8.0,15.0,11.0,0.0,450.0,4.7,0.0,1.0
Eastern Armor,45.0,42.8,55.8,43.6,15.0,33.0,18.0,20.0,38.0,28.0,0.0,450.0,12.3,-1.0,1.5
Eastern Gauntlets,6.0,5.7,7.4,5.8,1.0,4.0,2.0,2.0,5.0,4.0,0.0,450.0,1.5,0.0,1.0
Eastern Leggings,15.0,14.3,18.6,14.6,5.0,11.0,6.0,6.0,12.0,10.0,0.0,450.0,4.0,0.0,1.0
Shadow Mask,9.0,9.9,9.0,9.0,5.0,6.0,6.0,0.0,15.0,18.0,0.0,200.0,0.9,0.0,1.0
Shadow Garb,23.0,25.3,23.0,23.0,12.0,16.0,17.0,0.0,39.0,47.0,0.0,200.0,2.3,0.0,1.0
Shadow Gauntlets,13.0,14.3,13.0,13.0,7.0,9.0,10.0,0.0,23.0,28.0,0.0,200.0,1.4,0.0,1.0
Shadow Leggings,13.0,14.3,13.0,13.0,7.0,9.0,10.0,0.0,23.0,28.0,0.0,200.0,1.4,0.0,1.0
Hollow Warrior Helm,10.0,9.7,10.3,9.5,6.0,5.0,6.0,3.0,5.0,5.0,0.0,250.0,2.6,0.0,1.0
Hollow Warrior Armor,24.0,23.3,24.7,22.8,16.0,12.0,17.0,8.0,13.0,13.0,0.0,250.0,6.6,0.0,1.5
Hollow Warrior Waistcloth,13.0,12.6,13.4,12.3,8.0,6.0,8.0,5.0,6.0,6.0,0.0,250.0,1.4,0.0,1.0
Hollow Soldier Helm,10.0,10.0,11.1,8.8,6.0,6.0,4.0,5.0,7.0,5.0,0.0,200.0,3.0,0.0,1.0
Hollow Soldier Armor,26.0,26.0,28.9,22.9,16.0,17.0,10.0,12.0,18.0,13.0,0.0,200.0,7.8,0.0,1.5
Hollow Soldier Waistcloth,13.0,13.0,14.4,11.4,8.0,8.0,6.0,7.0,10.0,6.0,0.0,200.0,1.5,0.0,1.0
Balder Helm,14.0,13.7,17.1,13.4,6.0,8.0,6.0,6.0,8.0,6.0,0.0,450.0,4.2,0.0,1.0
Balder Armor,37.0,36.3,45.1,35.5,15.0,18.0,15.0,16.0,20.0,16.0,0.0,450.0,10.9,0.0,1.5
Balder Gauntlets,17.0,16.7,20.7,16.3,7.0,8.0,5.0,5.0,6.0,5.0,0.0,450.0,3.5,0.0,1.0
Balder Leggings,22.0,21.6,26.8,21.1,10.0,12.0,9.0,9.0,12.0,9.0,0.0,450.0,6.4,0.0,1.0
Steel Helm,16.0,15.0,18.4,16.0,8.0,8.0,5.0,9.0,9.0,6.0,0.0,500.0,5.4,-1.0,1.0
Steel Armor,42.0,39.5,48.3,42.0,22.0,21.0,13.0,23.0,23.0,16.0,0.0,500.0,14.0,-1.0,1.5
Steel Gauntlets,25.0,23.5,28.8,25.0,13.0,12.0,8.0,14.0,14.0,9.0,0.0,500.0,8.3,-1.0,1.0
Steel Leggings,25.0,23.5,28.8,25.0,13.0,12.0,8.0,14.0,14.0,9.0,0.0,500.0,8.3,-1.0,1.0
Hollow Thief's Hood,8.0,8.7,8.0,8.3,8.0,5.0,7.0,0.0,6.0,11.0,0.0,250.0,1.1,0.0,1.0
Hollow Thief's Leather Armor,21.0,22.9,21.0,21.8,20.0,13.0,18.0,0.0,15.0,29.0,0.0,250.0,2.8,0.0,1.0
Hollow Thief's Tights,12.0,13.1,12.0,12.5,11.0,8.0,10.0,0.0,9.0,17.0,0.0,250.0,1.7,0.0,1.0
Silver Knight Helm,21.0,19.7,24.1,20.6,10.0,11.0,14.0,8.0,9.0,5.0,1.0,600.0,4.8,0.0,1.0
Silver Knight Armor,52.0,48.9,59.8,51.0,26.0,29.0,34.0,19.0,24.0,12.0,2.0,600.0,12.0,0.0,1.5
Silver Knight Gauntlets,25.0,23.5,28.8,24.5,12.0,14.0,16.0,9.0,11.0,6.0,1.0,600.0,5.5,0.0,1.0
Silver Knight Leggings,28.0,26.3,32.2,27.4,15.0,16.0,19.0,11.0,14.0,7.0,1.0,600.0,6.5,0.0,1.0
Black Knight Helm,21.0,19.9,23.7,20.6,11.0,18.0,6.0,8.0,12.0,6.0,0.0,550.0,5.0,-1.0,1.0
Black Knight Armor,57.0,54.2,64.4,55.9,29.0,48.0,17.0,21.0,32.0,15.0,0.0,550.0,13.0,-1.0,1.5
Black Knight Gauntlets,26.0,24.7,29.4,25.5,14.0,23.0,8.0,10.0,15.0,8.0,0.0,550.0,6.0,-1.0,1.0
Black Knight Leggings,30.0,28.5,33.9,29.4,15.0,26.0,9.0,11.0,17.0,9.0,0.0,550.0,7.0,-1.0,1.0
Giant Helm,27.0,24.8,30.5,27.0,13.0,19.0,13.0,14.0,13.0,8.0,0.0,600.0,6.3,-1.0,1.0
Giant Armor,72.0,66.2,81.4,72.0,32.0,48.0,33.0,35.0,32.0,19.0,0.0,600.0,16.4,-2.0,1.5
Giant Gauntlets,41.0,37.7,46.3,41.0,19.0,29.0,19.0,21.0,19.0,11.0,0.0,600.0,9.7,-1.0,1.0
Giant Leggings,41.0,37.7,46.3,41.0,19.0,29.0,19.0,21.0,19.0,11.0,0.0,600.0,9.7,-1.0,1.0
Six-Eyed Helm of the Channelers,20.0,19.2,22.8,20.0,18.0,17.0,13.0,5.0,15.0,13.0,0.0,300.0,3.9,0.0,1.0
Robe of the Channelers,53.0,50.9,60.4,53.0,45.0,45.0,35.0,12.0,38.0,33.0,0.0,300.0,10.1,0.0,1.5
Gauntlets of the Channelers,17.0,16.3,19.4,17.0,13.0,13.0,10.0,3.0,12.0,10.0,0.0,300.0,3.0,0.0,1.0
Waistcloth of the Channelers,32.0,30.7,36.5,32.0,27.0,27.0,20.0,7.0,23.0,20.0,0.0,300.0,6.0,0.0,1.0
Painting Guardian Hood,3.0,3.6,3.0,3.0,31.0,11.0,8.0,0.0,12.0,30.0,6.0,150.0,0.6,0.0,1.0
Painting Guardian Robe,9.0,10.8,9.0,9.0,34.0,29.0,21.0,0.0,32.0,78.0,16.0,150.0,1.6,0.0,1.0
Painting Guardian Gloves,6.0,7.2,6.0,6.0,22.0,17.0,12.0,0.0,18.0,46.0,10.0,150.0,0.9,0.0,1.0
Painting Guardian Waistcloth,22.0,26.4,22.0,22.0,30.0,22.0,21.0,0.0,21.0,51.0,10.0,150.0,4.0,0.0,1.0
Fang Boar Helm,26.0,23.4,31.2,26.0,5.0,4.0,4.0,12.0,13.0,8.0,0.0,600.0,8.0,-1.0,1.0
Golem Helm,35.0,32.2,40.9,35.0,17.0,16.0,6.0,13.0,17.0,12.0,0.0,700.0,6.3,-1.0,1.0
Golem Armor,91.0,83.7,106.5,91.0,45.0,41.0,17.0,33.0,45.0,31.0,0.0,700.0,16.4,-2.0,1.5
Golem Gauntlets,54.0,49.7,63.2,54.0,25.0,23.0,10.0,20.0,27.0,17.0,0.0,700.0,9.7,-1.0,1.0
Golem Leggings,54.0,49.7,63.2,54.0,25.0,23.0,10.0,20.0,27.0,17.0,0.0,700.0,9.7,-1.0,1.0
Smough's Helm,40.0,34.8,46.0,40.0,19.0,26.0,21.0,14.0,21.0,12.0,5.0,700.0,6.8,-1.0,1.0
Smough's Armor,106.0,92.2,121.9,106.0,52.0,66.0,59.0,35.0,54.0,28.0,9.0,700.0,17.6,-2.0,1.5
Smough's Gauntlets,61.0,53.1,70.2,61.0,31.0,40.0,33.0,21.0,33.0,16.0,5.0,700.0,10.4,-1.0,1.0
Smough's Leggings,61.0,53.1,70.2,61.0,31.0,40.0,33.0,21.0,33.0,16.0,5.0,700.0,10.4,-1.0,1.0
Ornstein's Helm,32.0,30.4,36.2,32.0,16.0,22.0,18.0,9.0,18.0,8.0,8.0,700.0,5.5,-1.0,1.0
Ornstein's Armor,70.0,66.5,79.1,70.0,36.0,46.0,40.0,19.0,38.0,18.0,18.0,700.0,12.0,-1.0,1.5
Ornstein's Gauntlets,29.0,27.6,32.8,29.0,12.0,16.0,14.0,6.0,12.0,6.0,6.0,700.0,4.0,0.0,1.0
Ornstein's Leggings,40.0,38.0,45.2,40.0,20.0,28.0,24.0,11.0,22.0,12.0,12.0,700.0,7.0,-1.0,1.0
Helm of Artorias,18.0,16.2,20.7,18.9,9.0,19.0,9.0,6.0,9.0,9.0,9.0,600.0,4.2,0.0,1.0
Armor of Artorias,42.0,37.8,48.3,44.1,22.0,46.0,22.0,15.0,22.0,22.0,20.0,600.0,10.5,0.0,1.5
Gauntlets of Artorias,20.0,18.0,23.0,21.0,10.0,21.0,10.0,7.0,10.0,10.0,9.0,600.0,4.6,0.0,1.0
Leggings of Artorias,23.0,20.7,26.4,24.1,11.0,24.0,11.0,9.0,11.0,11.0,10.0,600.0,5.5,0.0,1.0
Gough's Helm,25.0,25.0,26.2,23.8,14.0,21.0,11.0,9.0,11.0,6.0,0.0,450.0,6.5,-1.0,1.0
Gough's Armor,50.0,50.0,52.5,47.5,28.0,41.0,21.0,19.0,21.0,12.0,0.0,450.0,13.0,-1.0,1.5
Gough's Gauntlets,27.0,27.0,28.4,25.7,15.0,22.0,11.0,12.0,11.0,6.0,0.0,450.0,7.0,-1.0,1.0
Gough's Leggings,31.0,31.0,32.6,29.5,17.0,25.0,13.0,13.0,13.0,7.0,0.0,450.0,8.0,-1.0,1.0
Porcelain Mask,13.0,13.0,13.7,14.3,10.0,12.0,8.0,3.0,11.0,19.0,11.0,250.0,2.5,0.0,1.0
Lord's Blade Robe,34.0,34.0,35.7,37.4,26.0,32.0,20.0,8.0,28.0,49.0,25.0,250.0,6.4,0.0,1.0
Lord's Blade Gloves,15.0,15.0,15.7,16.5,11.0,14.0,9.0,3.0,12.0,22.0,11.0,250.0,2.8,0.0,1.0
Lord's Blade Waistcloth,27.0,27.0,28.4,29.7,20.0,25.0,16.0,6.0,22.0,38.0,20.0,250.0,5.0,0.0,1.0
Crown of the Dark Sun,12.0,12.0,12.0,12.0,12.0,6.0,6.0,0.0,9.0,9.0,12.0,300.0,3.0,0.0,1.0
Moonlight Robe,20.0,20.0,20.0,20.0,31.0,17.0,17.0,0.0,23.0,23.0,31.0,80.0,3.1,0.0,1.0
Moonlight Gloves,3.0,3.0,3.0,3.0,5.0,3.0,3.0,0.0,4.0,4.0,5.0,80.0,0.5,0.0,1.0
Moonlight Waistcloth,12.0,12.0,12.0,12.0,18.0,10.0,10.0,0.0,14.0,14.0,18.0,80.0,1.8,0.0,1.0
Crown of the Great Lord,16.0,17.3,18.4,14.7,16.0,21.0,21.0,0.0,15.0,8.0,20.0,800.0,3.0,0.0,1.0
Robe of the Great Lord,32.0,34.6,36.8,29.4,32.0,41.0,41.0,0.0,30.0,15.0,40.0,400.0,6.0,0.0,1.0
Bracelet of the Great Lord,15.0,16.2,17.3,13.8,15.0,19.0,19.0,0.0,14.0,7.0,18.0,400.0,2.8,0.0,1.0
Anklet of the Great Lord,15.0,16.2,17.3,13.8,15.0,19.0,19.0,0.0,14.0,7.0,18.0,400.0,2.8,0.0,1.0
Dark Mask,18.0,18.0,19.8,16.9,12.0,12.0,10.0,6.0,12.0,8.0,0.0,300.0,3.8,0.0,1.0
Dark Armor,45.0,45.0,49.5,42.3,30.0,31.0,27.0,16.0,30.0,21.0,0.0,300.0,9.8,0.0,1.5
Dark Gauntlets,27.0,27.0,29.7,25.4,18.0,18.0,15.0,9.0,18.0,12.0,0.0,300.0,5.8,0.0,1.0
Dark Leggings,27.0,27.0,29.7,25.4,18.0,18.0,15.0,9.0,18.0,12.0,0.0,300.0,5.8,0.0,1.0
Helm of Thorns,17.0,16.1,18.5,17.0,10.0,12.0,8.0,6.0,10.0,7.0,0.0,250.0,4.1,0.0,1.0
Armor of Thorns,45.0,42.8,49.1,45.0,28.0,33.0,20.0,16.0,26.0,18.0,0.0,250.0,10.5,0.0,1.5
